itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1173,3.446,1.021,10.54,5.724,1.184,10.404,2.396,0.484,3.207,1.208,0.297,1.651,0.352,0.765,0.201,7.376,9.458,3.042,1.573,0.497,4.432,5.565,2.312,1.066,0.352
1174,3.129,0.992,8.5,5.804,1.224,9.48,2.571,0.501,3.351,1.49,0.336,1.761,0.423,0.761,0.217,7.585,10.429,2.593,1.52,0.542,3.952,6.669,2.374,1.117,0.39
1175,3.434,1.063,6.863,6.536,1.431,8.878,2.884,0.559,3.267,2.174,0.415,2.381,0.498,0.839,0.238,8.669,11.616,2.232,1.633,0.605,4.75,8.946,3.199,1.402,0.433
1176,4.345,1.187,5.913,7.956,1.756,8.787,3.257,0.64,3.017,3.011,0.52,3.296,0.561,0.946,0.26,10.221,12.808,1.944,1.827,0.675,6.588,11.963,4.35,1.75,0.475
1177,5.687,1.301,5.671,9.901,2.097,9.184,3.553,0.71,2.7,3.658,0.624,4.134,0.603,1.014,0.278,11.428,13.782,1.755,2.002,0.735,8.802,14.912,5.335,1.981,0.512
1178,7.12,1.359,5.945,12.008,2.341,9.943,3.629,0.739,2.383,3.849,0.702,4.57,0.622,0.994,0.287,11.596,14.277,1.727,2.098,0.762,10.602,16.884,5.819,2.001,0.539
1179,8.371,1.342,6.562,13.941,2.413,11.116,3.408,0.709,2.091,3.526,0.742,4.434,0.623,0.873,0.288,10.46,14.057,1.811,2.107,0.744,11.348,17.214,5.664,1.808,0.555
1180,9.228,1.279,7.437,15.397,2.315,12.983,2.945,0.623,1.846,2.817,0.743,3.778,0.61,0.689,0.284,8.563,13.418,1.936,2.048,0.682,10.779,15.754,4.942,1.47,0.557
1181,9.587,1.252,8.595,16.151,2.142,15.745,2.389,0.506,1.667,2.029,0.719,2.879,0.59,0.513,0.281,6.911,12.996,2.002,1.942,0.599,9.192,13.059,3.936,1.112,0.548
1182,9.491,1.37,10.114,16.119,2.054,19.485,1.899,0.399,1.58,1.528,0.689,2.132,0.569,0.417,0.289,6.587,13.36,1.985,1.806,0.531,7.422,10.211,3.001,0.872,0.54
