itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
760,1.049,1.672,1.465,3.85,1.346,3.527,1.233,0.916,2.667,1.806,0.929,1.827,0.82,1.081,1.106,3.562,1.687,1.106,0.938,0.774,3.276,1.769,2.761,1.338,1.146
761,1.206,2.0,1.548,4.422,1.533,4.197,1.224,1.024,2.742,2.176,0.964,1.912,0.873,1.052,1.07,4.2,1.63,1.057,1.114,0.85,3.735,2.179,2.812,1.489,1.096
762,1.279,2.214,1.606,4.673,1.657,4.614,1.14,1.167,2.995,2.341,0.99,1.915,0.921,1.038,1.005,4.898,1.523,0.956,1.227,0.877,4.071,2.59,2.846,1.614,1.064
763,1.266,2.266,1.683,4.569,1.683,4.83,1.026,1.32,3.388,2.259,0.996,1.827,0.97,1.05,0.944,5.479,1.413,0.815,1.246,0.851,4.339,2.882,2.9,1.641,1.055
764,1.314,2.157,2.037,4.218,1.606,5.075,0.935,1.458,4.032,2.01,0.984,1.692,1.03,1.08,0.92,5.918,1.38,0.661,1.175,0.785,4.645,2.965,2.971,1.556,1.073
765,1.776,1.931,3.278,3.88,1.45,5.656,0.912,1.552,4.833,1.784,0.972,1.592,1.109,1.096,0.955,6.109,1.499,0.54,1.045,0.704,4.965,2.832,3.004,1.411,1.135
766,2.988,1.656,5.854,3.82,1.255,6.766,1.012,1.581,5.571,1.777,0.99,1.601,1.209,1.074,1.053,5.953,1.784,0.504,0.908,0.637,5.196,2.534,2.92,1.282,1.263
767,4.996,1.401,9.637,4.117,1.056,8.372,1.259,1.531,6.07,2.075,1.067,1.726,1.32,1.017,1.21,5.472,2.15,0.573,0.809,0.606,5.229,2.147,2.657,1.233,1.468
768,7.418,1.213,14.085,4.609,0.878,10.064,1.608,1.4,6.284,2.609,1.214,1.899,1.422,0.952,1.404,4.794,2.455,0.719,0.766,0.62,4.917,1.753,2.228,1.273,1.725
769,9.548,1.11,18.289,4.988,0.732,11.371,1.945,1.203,6.262,3.226,1.409,2.026,1.486,0.924,1.602,4.067,2.57,0.877,0.771,0.669,4.318,1.442,1.72,1.359,1.976
770,10.711,1.082,21.255,5.022,0.627,11.944,2.15,0.979,6.048,3.784,1.607,2.019,1.487,0.957,1.761,3.391,2.446,0.97,0.799,0.734,3.634,1.303,1.254,1.427,2.152
771,10.539,1.111,22.469,4.623,0.585,11.714,2.156,0.773,5.805,4.2,1.761,1.837,1.423,1.041,1.849,2.781,2.104,0.961,0.831,0.795,3.057,1.377,0.927,1.434,2.198
772,9.129,1.171,21.962,3.851,0.63,10.89,1.979,0.634,5.827,4.457,1.845,1.51,1.312,1.146,1.859,2.31,1.629,0.861,0.86,0.835,2.75,1.608,0.763,1.384,2.098
773,6.953,1.242,20.137,2.883,0.772,9.76,1.711,0.59,6.143,4.542,1.861,1.128,1.191,1.221,1.809,1.939,1.135,0.713,0.882,0.844,2.761,1.882,0.711,1.314,1.878
774,4.713,1.308,17.518,1.987,0.998,8.659,1.461,0.643,6.747,4.477,1.835,0.8,1.098,1.232,1.729,1.724,0.718,0.57,0.899,0.819,3.016,2.073,0.714,1.267,1.599
775,3.024,1.365,14.756,1.401,1.274,7.815,1.311,0.766,7.339,4.314,1.79,0.628,1.057,1.175,1.647,1.571,0.432,0.476,0.916,0.762,3.255,2.101,0.741,1.263,1.33
776,2.15,1.411,12.196,1.225,1.543,7.17,1.284,0.914,7.802,4.108,1.737,0.659,1.067,1.084,1.585,1.46,0.288,0.443,0.933,0.681,3.39,1.97,0.802,1.292,1.118
777,1.957,1.442,10.087,1.385,1.743,6.857,1.336,1.036,8.085,3.901,1.682,0.909,1.112,1.011,1.549,1.448,0.286,0.471,0.951,0.588,3.428,1.76,0.919,1.32,0.98
778,2.1,1.447,8.599,1.721,1.83,7.039,1.382,1.089,8.154,3.728,1.625,1.433,1.169,1.011,1.532,1.508,0.411,0.574,0.964,0.5,3.373,1.572,1.118,1.322,0.909
779,2.327,1.416,7.816,2.123,1.793,7.802,1.369,1.051,8.058,3.61,1.561,2.265,1.216,1.127,1.514,1.61,0.644,0.775,0.968,0.432,3.264,1.482,1.419,1.302,0.888
780,2.521,1.338,7.7,2.507,1.658,8.986,1.294,0.937,7.896,3.524,1.488,3.344,1.241,1.342,1.475,1.677,0.942,1.068,0.959,0.392,3.142,1.485,1.787,1.298,0.905
781,2.539,1.216,7.938,2.756,1.468,10.234,1.206,0.789,8.016,3.386,1.401,4.458,1.243,1.582,1.408,1.715,1.242,1.388,0.935,0.38,3.073,1.504,2.132,1.335,0.953
782,2.308,1.077,7.978,2.773,1.262,10.897,1.137,0.662,8.381,3.096,1.304,5.297,1.221,1.76,1.318,1.729,1.474,1.645,0.898,0.384,3.065,1.451,2.363,1.416,1.021
