itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
916,7.585,1.211,7.321,10.181,1.034,8.071,0.664,0.302,1.699,2.662,0.372,2.624,0.456,0.645,0.171,14.124,26.285,3.342,2.081,0.271,14.637,6.002,3.419,1.006,0.355
917,8.14,1.319,7.585,11.896,1.101,7.212,0.607,0.344,2.067,2.924,0.367,2.988,0.439,0.701,0.168,11.328,25.306,4.308,1.816,0.252,15.726,7.337,3.785,1.094,0.409
918,8.251,1.385,7.563,12.719,1.18,6.467,0.596,0.387,2.471,3.141,0.35,3.222,0.408,0.773,0.169,8.607,22.867,5.237,1.484,0.25,15.798,8.791,4.074,1.185,0.446
919,7.755,1.345,7.153,12.32,1.17,5.803,0.629,0.415,2.808,3.058,0.32,3.123,0.368,0.831,0.174,6.603,20.005,5.811,1.174,0.256,14.71,9.847,4.025,1.194,0.45
920,6.759,1.198,6.417,10.783,1.05,5.089,0.696,0.417,2.941,2.634,0.282,2.653,0.324,0.848,0.188,5.367,17.672,5.863,0.942,0.259,12.69,10.241,3.547,1.095,0.419
921,5.559,0.982,5.499,8.568,0.865,4.289,0.784,0.398,2.792,2.015,0.243,1.961,0.284,0.807,0.207,4.62,16.4,5.378,0.8,0.255,10.307,9.99,2.798,0.924,0.364
922,4.511,0.752,4.701,6.304,0.678,3.595,0.905,0.372,2.407,1.409,0.211,1.273,0.256,0.71,0.23,4.129,16.107,4.48,0.732,0.246,8.206,9.379,2.035,0.742,0.302
923,4.017,0.566,4.293,4.733,0.542,3.3,1.081,0.367,1.946,1.004,0.198,0.758,0.243,0.577,0.251,3.908,16.264,3.434,0.727,0.239,6.807,8.889,1.463,0.608,0.247
924,4.389,0.485,4.407,4.5,0.499,3.605,1.319,0.414,1.591,0.968,0.209,0.568,0.25,0.452,0.265,3.962,16.261,2.582,0.781,0.241,6.199,8.908,1.261,0.572,0.208
925,5.734,0.541,4.964,5.914,0.57,4.459,1.608,0.53,1.456,1.368,0.245,0.787,0.275,0.381,0.271,4.241,15.636,2.199,0.904,0.252,6.154,9.547,1.484,0.661,0.187
926,7.792,0.724,5.686,8.708,0.743,5.626,1.893,0.702,1.534,2.115,0.296,1.356,0.312,0.394,0.269,4.521,14.221,2.338,1.082,0.27,6.386,10.628,2.033,0.864,0.181
927,9.99,0.978,6.278,12.036,0.979,6.765,2.104,0.888,1.699,2.999,0.345,2.107,0.35,0.488,0.26,4.481,12.202,2.884,1.278,0.289,6.697,11.742,2.715,1.134,0.183
928,11.584,1.23,6.509,14.759,1.218,7.5,2.187,1.03,1.804,3.767,0.38,2.841,0.381,0.632,0.246,3.976,10.021,3.586,1.452,0.301,7.05,12.442,3.321,1.394,0.19
929,12.06,1.411,6.402,16.014,1.394,7.75,2.125,1.082,1.757,4.182,0.396,3.353,0.399,0.766,0.231,3.175,8.166,4.159,1.56,0.307,7.38,12.365,3.666,1.561,0.201
930,11.278,1.473,6.102,15.478,1.457,7.731,1.942,1.027,1.586,4.109,0.396,3.494,0.407,0.83,0.222,2.4,6.841,4.359,1.576,0.31,7.637,11.372,3.629,1.577,0.219
931,9.516,1.406,5.809,13.435,1.387,7.61,1.694,0.888,1.348,3.588,0.39,3.234,0.414,0.792,0.221,1.882,5.945,4.092,1.498,0.315,7.718,9.583,3.188,1.433,0.246
932,7.36,1.246,5.561,10.676,1.217,7.513,1.434,0.716,1.103,2.841,0.389,2.696,0.426,0.664,0.232,1.736,5.302,3.444,1.349,0.324,7.512,7.324,2.449,1.175,0.287
933,5.465,1.058,5.29,8.078,1.013,7.44,1.199,0.565,0.902,2.156,0.398,2.084,0.447,0.502,0.25,1.977,4.832,2.625,1.173,0.338,6.94,5.099,1.629,0.89,0.34
