itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
99,5.115,0.812,8.408,6.08,1.027,10.121,2.536,0.486,2.664,1.691,0.33,2.545,0.431,0.517,0.211,6.767,16.958,3.501,1.845,0.273,8.016,3.788,4.057,1.817,0.346
100,6.78,0.938,10.225,7.381,1.166,11.49,2.525,0.483,2.888,1.729,0.311,2.811,0.458,0.509,0.203,6.791,15.299,3.825,2.088,0.273,8.873,3.971,4.458,2.06,0.344
101,8.601,0.993,11.57,9.043,1.196,12.278,2.557,0.497,3.019,1.649,0.292,2.78,0.454,0.518,0.197,7.536,13.128,3.877,2.143,0.268,9.061,4.062,4.301,2.069,0.323
102,10.233,0.961,12.081,10.799,1.101,12.274,2.622,0.511,3.005,1.454,0.276,2.47,0.419,0.536,0.192,8.77,10.697,3.574,2.003,0.263,8.496,4.162,3.584,1.836,0.286
103,11.408,0.866,11.592,12.372,0.925,11.366,2.655,0.51,2.84,1.211,0.265,2.053,0.363,0.549,0.188,9.893,8.333,3.051,1.73,0.264,7.22,4.486,2.577,1.44,0.242
104,12.021,0.753,10.113,13.583,0.739,9.611,2.596,0.485,2.556,1.029,0.26,1.785,0.308,0.553,0.186,10.348,6.484,2.519,1.43,0.274,5.582,5.186,1.68,1.011,0.206
105,12.353,0.691,8.186,14.731,0.624,7.514,2.439,0.443,2.232,1.003,0.264,1.881,0.279,0.551,0.188,9.931,5.626,2.184,1.22,0.294,4.087,6.428,1.225,0.687,0.188
106,12.93,0.737,6.328,16.428,0.623,5.825,2.245,0.399,1.949,1.157,0.282,2.365,0.29,0.548,0.198,8.868,6.078,2.18,1.187,0.323,3.472,8.326,1.34,0.561,0.196
107,14.105,0.899,5.012,19.037,0.725,5.147,2.123,0.371,1.792,1.411,0.313,3.033,0.337,0.552,0.218,7.635,7.721,2.491,1.341,0.357,4.028,10.728,1.881,0.64,0.226
108,15.841,1.139,4.208,22.382,0.876,5.599,2.156,0.366,1.836,1.627,0.352,3.567,0.401,0.571,0.243,6.774,9.944,2.926,1.605,0.394,5.871,13.263,2.524,0.843,0.267
109,17.654,1.383,3.863,25.669,1.019,6.938,2.324,0.381,2.111,1.676,0.393,3.686,0.458,0.602,0.267,6.693,11.887,3.242,1.865,0.43,8.541,15.458,2.926,1.065,0.307
110,18.82,1.554,3.684,27.804,1.11,8.462,2.535,0.404,2.568,1.526,0.428,3.332,0.49,0.639,0.281,7.504,12.908,3.288,2.027,0.459,11.332,16.9,2.95,1.23,0.334
111,18.786,1.602,3.481,27.97,1.127,9.448,2.675,0.421,3.065,1.252,0.455,2.662,0.491,0.67,0.282,9.023,12.763,3.032,2.022,0.476,13.395,17.331,2.59,1.29,0.342
112,17.459,1.516,3.143,26.027,1.072,9.375,2.645,0.424,3.422,0.981,0.472,1.941,0.465,0.691,0.276,10.69,11.538,2.563,1.83,0.48,13.986,16.716,1.976,1.234,0.337
113,15.166,1.315,2.695,22.447,0.954,8.313,2.43,0.414,3.504,0.813,0.477,1.38,0.421,0.702,0.275,11.941,9.637,2.084,1.501,0.476,13.063,15.191,1.316,1.08,0.327
114,12.618,1.054,2.329,18.301,0.803,6.697,2.106,0.402,3.281,0.78,0.471,1.103,0.37,0.698,0.285,12.631,7.689,1.768,1.142,0.468,10.899,13.061,0.836,0.875,0.323
115,10.615,0.813,2.285,14.892,0.68,5.171,1.747,0.4,2.809,0.888,0.459,1.158,0.324,0.683,0.307,12.911,6.262,1.673,0.878,0.458,8.299,10.709,0.726,0.691,0.336
116,9.71,0.667,2.81,13.206,0.649,4.312,1.414,0.416,2.235,1.12,0.447,1.543,0.29,0.678,0.332,13.048,5.694,1.737,0.788,0.447,6.012,8.486,1.036,0.589,0.369
117,9.918,0.652,3.894,13.394,0.742,4.336,1.185,0.444,1.749,1.426,0.442,2.193,0.272,0.693,0.347,13.114,5.942,1.845,0.863,0.432,4.618,6.637,1.671,0.591,0.417
118,10.674,0.749,5.37,14.66,0.932,5.071,1.117,0.469,1.475,1.74,0.44,2.932,0.27,0.732,0.344,13.007,6.623,1.906,1.016,0.409,4.136,5.165,2.412,0.675,0.467
119,11.22,0.896,6.745,15.774,1.145,6.072,1.243,0.476,1.419,1.982,0.435,3.517,0.282,0.79,0.325,12.561,7.327,1.881,1.139,0.378,4.358,3.919,2.979,0.791,0.503
120,11.078,1.029,7.703,15.807,1.295,6.927,1.565,0.459,1.501,2.081,0.421,3.744,0.302,0.862,0.298,11.63,7.76,1.799,1.164,0.345,4.795,2.865,3.19,0.89,0.514
121,10.139,1.097,7.91,14.44,1.318,7.311,1.995,0.423,1.608,1.994,0.396,3.552,0.321,0.928,0.271,10.208,7.778,1.719,1.08,0.316,5.052,2.058,3.019,0.933,0.498
122,8.626,1.07,7.383,11.909,1.195,7.081,2.373,0.372,1.639,1.729,0.361,3.023,0.326,0.964,0.251,8.423,7.463,1.719,0.92,0.297,4.876,1.518,2.582,0.903,0.458
123,6.951,0.953,6.412,8.845,0.958,6.369,2.552,0.32,1.577,1.357,0.327,2.326,0.314,0.956,0.238,6.729,6.992,1.864,0.75,0.288,4.347,1.233,2.058,0.811,0.406
124,5.519,0.786,5.375,6.07,0.68,5.509,2.465,0.283,1.457,0.995,0.306,1.664,0.29,0.917,0.233,5.736,6.524,2.176,0.637,0.287,3.785,1.198,1.63,0.699,0.36
125,4.606,0.629,4.551,4.281,0.454,4.728,2.156,0.28,1.326,0.757,0.309,1.204,0.267,0.878,0.233,5.735,6.139,2.61,0.621,0.298,3.495,1.488,1.47,0.634,0.335
126,4.27,0.527,4.079,3.768,0.349,4.246,1.762,0.321,1.219,0.691,0.334,0.977,0.257,0.862,0.241,6.83,5.753,3.04,0.694,0.324,3.68,2.206,1.615,0.672,0.342
127,4.334,0.497,4.202,4.276,0.378,4.51,1.453,0.401,1.203,0.772,0.368,0.911,0.265,0.868,0.259,8.692,5.224,3.334,0.817,0.36,4.535,3.347,1.958,0.824,0.377
128,4.602,0.53,5.135,5.295,0.51,6.019,1.347,0.506,1.31,0.926,0.394,0.921,0.287,0.892,0.29,10.966,4.531,3.426,0.944,0.399,6.097,4.684,2.31,1.046,0.427
129,4.885,0.603,7.089,6.245,0.693,8.962,1.488,0.612,1.548,1.088,0.402,0.985,0.311,0.928,0.332,13.09,3.802,3.29,1.049,0.429,8.095,5.826,2.501,1.263,0.472
130,5.006,0.692,9.574,6.721,0.875,13.032,1.832,0.693,1.923,1.223,0.39,1.15,0.324,0.971,0.381,14.52,3.22,2.955,1.126,0.439,10.099,6.383,2.463,1.404,0.497
131,4.861,0.762,12.292,6.637,0.993,17.315,2.267,0.733,2.373,1.321,0.364,1.426,0.32,1.014,0.425,14.865,2.957,2.517,1.185,0.425,11.506,6.131,2.197,1.422,0.496
132,4.442,0.787,14.03,6.149,1.005,20.421,2.66,0.728,2.779,1.414,0.332,1.773,0.304,1.051,0.454,14.032,3.106,2.092,1.242,0.39,11.937,5.136,1.788,1.316,0.473
